Type,Text (raw data),,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"I am pledging my allegiance to the Caliph of the Muslims, Abu Bakr al Baghdadi. ""I have made a declaration of allegiance to the Caliph and the declaration of a Caliphate. "" ""I give myself to [long list of names in Arabic which he struggled to read and pronounced] ""We are a team, in league together. I am with the team who did Charlie Hebdo. ""I went out a little against the police too. So that’s that. We did some things together, some things separately to have most impact. [Sound of TV news in the background in which newsreader can be clearly heard talking about the attacks]. ""We have managed to be synchronised together, to come out at the same time, because we are close in the same business. ""Why did you attack France, Charlie Hebdo and a Jewish grocery? [Wearing black leather jacket, black hat and gloves with his AK47 lent next to him against a white wall]) ""What we are in the process of doing is completely legitimate considering what they do... It has been completely deserved for a long time. ""For what you have done to the Caliphate, for what you have done to the Islamic State, we are attacking you. ""You cannot attack us and expect nothing back in return. So, the victims. ""As if you don’t understand why this is happening, for a few dead. This is for you and your coalition, with you at its head. ""You kill there regularly, you use your force, you kill our soldiers. Why? Because we live by Sharia. ""In our state we have decided that is how we live. We will not let you do that. We will fight, if Allah wills it."" ""I am addressing my Muslim brothers, everywhere and in particular in Western countries. ""I ask them 'What are you doing? What are you doing my brothers? What are you doing when they continually insult the Prophet? What are you doing to the aggressors? What do you do when they massacre the entire population?....What are you doing my brothers?' ""Since I got out, I’ve moved around a lot, I’ve visited lots of mosques, in France a little bit and a lot in the Paris region. ""They are all full, full of energy. They are full of sporty youngsters. They are full of men in good health. How do you think with all these thousands and millions of people to defend this?",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"I was born in the Arabian Peninsula. I was also a student in the United Kingdom for some time. I decided to write this short message before I do a martyrdom operation. To our brothers in Islām who are in the kufār countries (America, France, United Kingdom … etc.): You defnitely know what is happening to the Islāmic ummah and Muslims all over the world. The kufār are killing our brothers and raping our sisters while we stand by and do nothing to prevent it, the exact opposite of what Islām teaches us. The frst thing I say to Muslims in America and the European countries is that you are in the heart of nations of the kufār. You are in a place that too many Mujahedeen wish they were in, so that they can beat the kufār in their own countries, destroy their peace as they destroy ours; force them to stop the war against Muslims. And force them to leave the Arabian Peninsula as well as all other Muslim countries, move the war from our lands to theirs and keep fighting them until we let Islām rule the whole planet. Being in the heart of the nations of kufār is a chance Allāh has given you to punish the kufār in their own territory. So do not do like I did and leave without doing anything. The second thing is that when you make a small operation in America or European countries you gain more results than a huge operation outside their home. ... And remember that Jihād is not dependent on a specific person and you are not being asked about what others have done to defend Muslims from the brutish attack on Islām. ... Allāh will ask you alone about what you did for Islām. So do not hesitate or even think twice, all you need is just to follow the steps that the Mujahedeen give you in 'Inspire Magazine' and ask Allāh to make it easy for you. ",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"“The regime uses chemical warfare on a regular basis these days, and nobody bats an eye—yet when [ISIS] captures it from them and uses it against them it’s all of a sudden a huge problem? Fight them the way they fight you.”",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist," I came from a religious family which used to observe all the Islamic traditions. my initial political awareness came during the prayers at the mosque. That’s where I was also asked to join religious classes. In the context of these studies, the sheik used to inject some historical background in which he would tell us how we were effectively evicted from Palestine. The sheik also used to explain to us the significance of the fact that there was an IDF military outpost in the heart of the camp. He compared it to a cancer in the human body, which was threatening its very existence. At the age of 16 I developed an interest in religion. I was exposed to the Moslem Brotherhood and I began to pray in a mosque and to study Islam. The Koran and my religious studies were the tools that shaped my political consciousness. The mosque and the religious clerics in my village provided the focal point of my social life.",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"I came from a religious family which used to observe all the Islamic traditions. my initial political awareness came during the prayers at the mosque. That’s where I was also asked to join religious classes. In the context of these studies, the sheik used to inject some historical background in which he would tell us how we were effectively evicted from Palestine.",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"The sheik also used to explain to us the significance of the fact that there was an IDF military outpost in the heart of the camp. He compared it to a cancer in the human body, which was threatening its very existence.",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,At the age of 16 I developed an interest in religion. I was exposed to the Moslem Brotherhood and I began to pray in a mosque and to study Islam. The Koran and my religious studies were the tools that shaped my political consciousness. The mosque and the religious clerics in my village provided the focal point of my social life.,,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"Families of terrorists who were wounded, killed or captured enjoyed a great deal of economic aid and attention. And that strengthened popular support for the attacks.",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"Perpetrators of armed attacks were seen as heroes, their families got a great deal of material assistance, including the construction of new homes to replace those destroyed by the Israeli authorities as punishment for terrorist acts",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"The entire family did all it could for the Palestinian people, and won great respect for doing so. All my brothers are in jail, one is serving a life sentence for his activities in the Izz a-Din al-Qassam battalions. My brothers all went to school and most are university graduates.",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"Major actions become the subject of sermons in the mosque, glorifying the attack and the attackers.",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"Recruits were treated with great respect. a youngster who belonged to Hamas or Fatah was regarded more highly than one who didn’t belong to a group, and got better treatment than unaffiliated kids",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,Anyone who didn’t enlist during that period (intifada) would have been ostracized.,,,,,,,,,,,,,,,,,,,,,,,,
